registration_id,partner_id,campaign_id,customer_id,full_name,phone_number,citizen_id,date_of_birth,gender,monthly_income,requested_amount,requested_term,loan_purpose,customer_type,status,created_at,updated_at
2af6d43c-b483-5ec1-8c64-d601f161fa96,4d414dc1-c726-5bfc-a155-860fa3e050a8,b721b332-d6a0-5f18-b601-3e17fd10d713,b600993a-b148-5a0d-bdf9-d3c181d63537,Phạm Nam,0930000011,001900000011,1996-11-15,MALE,12000000.00,60000000.00,36,EDUCATION,NEW_TO_BANK,SUBMITTED,2026-04-11 09:10:00,2026-04-11 09:30:00
03bebf35-a57a-5861-94dc-6c5b7440279c,87d7bdce-bf41-585f-8ac0-df785049783a,3f47f911-d078-5980-b6ac-b33b9e3f9013,a77840dc-511a-5267-984d-20af365843de,Hoàng Nga,0940000012,001910000012,1997-12-16,FEMALE,14000000.00,70000000.00,36,BUSINESS,NEW_TO_BANK,SUBMITTED,2026-04-12 09:11:00,2026-04-12 09:31:00
c267b7a7-f8d8-5325-8f59-5fa4768ecdab,6db00a2c-4575-5ea9-8f11-03229e5dfc72,e767523e-b02f-5fa6-b6ae-4de30d140a42,86c833a3-d025-5266-86d0-3ea234869f95,Đỗ Phúc,0950000013,001920000013,1998-01-17,MALE,16000000.00,20000000.00,36,PERSONAL,NEW_TO_BANK,SUBMITTED,2026-04-13 09:12:00,2026-04-13 09:32:00
7ad4d948-caad-594a-8132-5ec550534bf7,4d414dc1-c726-5bfc-a155-860fa3e050a8,01776197-61bf-5a9c-8880-18283d6eabc9,1e6a019a-d9cf-5477-b203-ff992cc3b728,Bùi Quân,0960000014,001930000014,1999-02-18,FEMALE,18000000.00,30000000.00,6,EDUCATION,NEW_TO_BANK,SUBMITTED,2025-01-06 09:13:00,2025-01-06 09:33:00
e1bc5ab7-35ff-594f-9213-d1e37c07137d,87d7bdce-bf41-585f-8ac0-df785049783a,67dcd8b8-c4e9-5b67-a8a1-2a9101caf1ed,4cb6dc3f-512f-5bed-a971-47ba62a401e9,Nguyễn Thảo,0970000015,001940000015,2000-03-19,MALE,20000000.00,40000000.00,36,BUSINESS,NEW_TO_BANK,CANCELLED,2026-03-17 09:14:00,2026-03-17 09:34:00
fe6491fb-e879-5c7c-9134-7ca3f815b791,6db00a2c-4575-5ea9-8f11-03229e5dfc72,6415855c-d4fc-50dd-b049-e16742146395,f785e6c4-4143-5f1e-b245-91610df862f4,Trần Trang,0980000016,001950000016,2001-04-20,FEMALE,22000000.00,50000000.00,12,PERSONAL,NEW_TO_BANK,SUBMITTED,2026-03-22 09:15:00,2026-03-22 09:35:00
3d41b981-b7dd-5604-81f3-362dadcb892f,4d414dc1-c726-5bfc-a155-860fa3e050a8,b721b332-d6a0-5f18-b601-3e17fd10d713,edfa9be2-96b0-5765-87e8-396d85b19233,Lê Tuấn,0910000017,001960000017,1986-05-21,MALE,24000000.00,60000000.00,24,EDUCATION,NEW_TO_BANK,SUBMITTED,2026-03-27 09:16:00,2026-03-27 09:36:00
c5309bc0-2ac4-5dc5-80b3-500aeb821557,87d7bdce-bf41-585f-8ac0-df785049783a,3f47f911-d078-5980-b6ac-b33b9e3f9013,47440573-ffb0-50b9-b72c-09ce544093c4,Phạm Vy,0920000018,001970000018,1987-06-22,FEMALE,26000000.00,70000000.00,36,BUSINESS,NEW_TO_BANK,SUBMITTED,2026-04-01 09:17:00,2026-04-01 09:37:00
6d0f3b3e-27ae-540d-8cc7-dc90a36b31f4,6db00a2c-4575-5ea9-8f11-03229e5dfc72,e767523e-b02f-5fa6-b6ae-4de30d140a42,76a79541-f26a-5da1-88f2-4cafb0ca7910,Hoàng Yến,0930000019,001980000019,1988-07-23,MALE,10000000.00,20000000.00,12,PERSONAL,NEW_TO_BANK,SUBMITTED,2026-04-06 09:18:00,2026-04-06 09:38:00
6baddcf3-d706-5f81-b5dd-10c689bf9f81,4d414dc1-c726-5bfc-a155-860fa3e050a8,01776197-61bf-5a9c-8880-18283d6eabc9,11286653-6521-5748-b586-f13cb6baa14f,Đỗ Khánh,0940000020,001990000020,1989-08-24,FEMALE,7500000.00,30000000.00,24,EDUCATION,NEW_TO_BANK,SUBMITTED,2026-04-11 09:19:00,2026-04-11 09:39:00
800a523e-b0ee-53fe-9049-0e52d27af374,87d7bdce-bf41-585f-8ac0-df785049783a,67dcd8b8-c4e9-5b67-a8a1-2a9101caf1ed,50dacf68-93dc-595e-bf09-8f6458a04bca,Bùi Long,0950000021,001000000021,1990-09-25,MALE,14000000.00,40000000.00,36,BUSINESS,NEW_TO_BANK,SUBMITTED,2026-04-16 09:20:00,2026-04-16 09:40:00
37d5f8b8-c39a-5bfd-bc04-9e0e5c1b5cc5,6db00a2c-4575-5ea9-8f11-03229e5dfc72,6415855c-d4fc-50dd-b049-e16742146395,aab92294-f365-52a7-9cda-40fa0106354b,Nguyễn Mai,0960000022,001010000022,1991-10-26,FEMALE,16000000.00,50000000.00,12,PERSONAL,NEW_TO_BANK,SUBMITTED,2026-04-21 09:21:00,2026-04-21 09:41:00
321f11d4-5248-55ed-bb2a-2f36124e9979,4d414dc1-c726-5bfc-a155-860fa3e050a8,b721b332-d6a0-5f18-b601-3e17fd10d713,95c4e364-5688-5e2d-a043-84e562519da2,Trần An,0970000023,001020000023,1992-11-27,MALE,18000000.00,60000000.00,24,EDUCATION,NEW_TO_BANK,SUBMITTED,2026-04-26 09:22:00,2026-04-26 09:42:00
c484a234-6ca4-51ab-9bf3-ecb62930dee1,87d7bdce-bf41-585f-8ac0-df785049783a,3f47f911-d078-5980-b6ac-b33b9e3f9013,55d1354d-60b3-5ce2-8c01-c7fe72539b70,Nguyễn An,0910000001,001800000001,1986-01-05,MALE,20000000.00,70000000.00,36,BUSINESS,RELOAN,SUBMITTED,2026-05-01 09:23:00,2026-05-01 09:43:00
60fae302-95c3-5c8f-98b2-c56d68d6893b,6db00a2c-4575-5ea9-8f11-03229e5dfc72,e767523e-b02f-5fa6-b6ae-4de30d140a42,9c77af5d-2917-5d3a-b5ce-0b11fd724114,Trần Bình,0920000002,001810000002,1987-02-06,FEMALE,22000000.00,20000000.00,36,PERSONAL,RELOAN,SUBMITTED,2026-05-11 09:24:00,2026-05-11 09:44:00
9571c027-0994-536d-bb26-8e0d4bbe7683,4d414dc1-c726-5bfc-a155-860fa3e050a8,01776197-61bf-5a9c-8880-18283d6eabc9,72552407-44ef-5535-a35b-5800112c59c8,Lê Chi,0930000003,001820000003,1988-03-07,MALE,24000000.00,30000000.00,36,EDUCATION,RELOAN,SUBMITTED,2026-05-12 09:25:00,2026-05-12 09:45:00
f634f6ac-a7e3-5d33-9892-52f9cc7ba0a8,87d7bdce-bf41-585f-8ac0-df785049783a,67dcd8b8-c4e9-5b67-a8a1-2a9101caf1ed,8802faf9-c9e6-5189-8089-a5d80f1e2b17,Phạm Dũng,0940000004,001830000004,1989-04-08,FEMALE,26000000.00,40000000.00,36,BUSINESS,RELOAN,SUBMITTED,2026-05-13 09:26:00,2026-05-13 09:46:00
395f9182-fb63-5f62-8fd2-e97beb97e4aa,6db00a2c-4575-5ea9-8f11-03229e5dfc72,6415855c-d4fc-50dd-b049-e16742146395,4764a209-dd42-5276-a545-7f7ee85bf15d,Hoàng Giang,0950000005,001840000005,1990-05-09,MALE,10000000.00,50000000.00,6,PERSONAL,RELOAN,SUBMITTED,2025-02-05 09:27:00,2025-02-05 09:47:00
